timestamp	researcher	module	commit	metric_avg	metric_best	status	hypothesis	description
2026-04-11T08:58:11	r2	move_operators	3d79741	N/A	N/A	discard	GA: MaxPopulationSize=10 GPX2 Runs=20 MaxTrials=Dimension/20	seed42 80479 (regression vs H8 80450): 105 trials/run too shallow; CrossOver needs quality parents that single-run depth provides
2026-04-11T09:00:06	r1	subgradient_optimization	5850959	0.040	0.000	discard	Relax MaxAlpha by 5% to include near-threshold edges	fl1577=22262(slightly better), d2103=80482(WORSE vs 80460); seed42 screen failed, relaxed threshold hurts d2103
2026-04-11T09:04:09	r1	subgradient_optimization	902f944	0.090	0.000	discard	Extend initial phase patience: P>2/3*Period vs P>1/2*Period	fl1577=22263, d2103=80528(much worse), pcb3038=137760(much worse); T doubles too much in extended initial phase
2026-04-11T09:04:37	w1	wildcard	81deacc	0.0049	0.0000	keep	wider excess filter for large instances	Excess=1/(Dim*0.7) for Dim>1000
2026-04-11T09:18:58	r3	perturbation	f62f0a7	0.0578	0.0428	keep	Improved KSwapKick + stagnation-triggered kicks for Dimension 2000-2999	isolated: d2103 avg 0.0791% (was 0.0833%), fl1577/pcb3038 unchanged, max regression 1.23x; COMPOSITION: d2103 seed42=80450 OPTIMAL (was 80455 on main), avg gap 0.0088%; cherry-pick clean
2026-04-11T09:23:07	r3	perturbation	93742dd	N/A	N/A	discard	Lower stagnation threshold Dimension/60	d2103 seed42 regressed to 80535 (baseline level) — more frequent kicks disrupt the search; D/40 spacing was optimal
2026-04-11T09:29:19	r1	subgradient_optimization	bca327d	0.035	0.001	discard	InitialPeriod=150 for Dimension>1000	fl1577=22263avg(same), d2103=80484avg(same), pcb3038=137695avg(same); subgradient converges before iter100, extra iters do nothing
2026-04-11T09:29:52	r3	perturbation	5707aa4	N/A	N/A	discard	K=5 kicks: 5-opt perturbation for broader basin escape	seed42/123/456 improved but seed789 regressed 2.37x (80486→80535); K=5 reconnection hurts some seeds
2026-04-11T09:33:44	r1	subgradient_optimization	1b73e90	N/A	N/A	discard	Oscillation damping 60/40 instead of 50/50	fl1577=22251(was 22249), d2103=80467(was 80450); seed42 screen failed, allowing forward progress during oscillation disrupts convergence
2026-04-11T09:37:57	r2	move_operators	3d79741	N/A	N/A	discard	LIFO swap nodes in StoreTour (wrong push order i=1→4, t4 ends at FRONT)	H10: pushing i=1,2,3,4 to FRONT means t4 at FRONT, t1 at pos4; H8 disabled (t1->Next!=0); regression d2103 seed42=80455,123=80487,456=80531 vs H8 optimal
2026-04-11T09:37:57	r2	move_operators	3d79741	N/A	N/A	discard	KickType=4 default enables ILK (iterated LK with double-bridge)	H11: 80550 on d2103 seed42 vs 80450 optimal; ILK with 2103 trials destructive — kicks perturb away from good greedy start
2026-04-11T09:37:57	r2	move_operators	3d79741	N/A	N/A	discard	LIFO swap nodes in StoreTour (correct push order i=4→1, t1 at FRONT)	H12: d2103 seed789 improved 0.046%→0.010% but pcb3038 seed42 TIMEOUT; pushing 4 nodes to front causes 4x overhead per improvement
2026-04-11T09:37:57	r2	move_operators	3d79741	N/A	N/A	discard	MaxCandidates=7 (from 5) to add more alpha-nearest edges	H13: TIMEOUT on d2103 seeds 42 and 789; candidate set creation too slow with 2 extra alpha-nearest per node
2026-04-11T09:40:49	r1	subgradient_optimization	5e5eca9	N/A	N/A	discard	Full gradient for LastV=0 nodes (10/0 instead of 7/3)	d2103=80472(was 80450), pcb3038=137760(was 137699); stronger restart step causes overshoot, conservative 7/3 is better
2026-04-11T09:46:36	r3	perturbation	73949c4	0.0546	0.0174	discard	Double K=4 kick per stagnation event	isolated improved (seed789 0.0447%→0.0174%), but composition seed42 regressed from OPTIMAL(80450) to 80455; single-kick achieves better composition optimality
2026-04-11T09:46:36	r1	subgradient_optimization	dc7a23a	N/A	N/A	discard	Boost MaxAlpha 1.2x for Dimension>500	d2103=80466(was 80450), pcb3038=137694(better); seed42 screen: d2103 regressed
2026-04-11T09:49:08	r2	move_operators	3d79741	N/A	N/A	discard	BackboneTrials=10: build backbone from 10 trials, use for remaining	H14: d2103 seed42=80562 (0.139%) — backbone overhead too large, candidate swap disrupts quality
2026-04-11T09:49:08	r2	move_operators	3d79741	N/A	N/A	discard	Recombination=GPX2 default for in-FindTour merge	H15a: d2103 seed42=80496 (0.057%) — GPX2 worse than IPT for sequential single-solution merging
2026-04-11T09:54:18	r3	perturbation	5ad8184	0.0791	0.0428	discard	LongEdgeNode top-3 cycling	identical isolated results to f62f0a7 keep; cycling has no effect in isolation (1 kick per 300s); discarded per strictly-better rule
2026-04-11T09:56:12	r3	perturbation	97f7c4c	N/A	N/A	discard	Scale WALK_STEPS with Dimension/10	d2103 seed42 regressed to 80535 from keep 80508; longer walks shift Random() sequence disadvantageously
2026-04-11T09:57:47	r1	subgradient_optimization	91dfded	N/A	N/A	discard	Boost MaxAlpha 1.2x for Dimension>2500	fl1577=22263(unchanged), d2103=80460(unchanged), pcb3038=137694(unchanged); no improvement on isolated branch
2026-04-11T09:59:14	r3	perturbation	7aef11e	N/A	N/A	discard	Remove minimum spacing check	d2103 seed42 regressed to 80535 (baseline); spacing check is essential for kick quality
2026-04-11T18:01:35	r2	move_operators	3d79741	N/A	N/A	discard	Sort initial active queue by decreasing SucCost	H15: d2103 seed42=80533 vs H8 80450; sorting queue disrupts FIFO activation order, regression on large instances
2026-04-11T18:01:35	r2	move_operators	3d79741	N/A	N/A	discard	Single Gain23 call per outer iteration (if instead of while)	H16: d2103 seed42=80468 vs H8 80450; breaking Gain23 cascade loop hurts — iterative Gain23 (H1) is essential for chained non-sequential improvements
2026-04-11T10:10:45	r1	subgradient_optimization	5bff22f	N/A	N/A	discard	Boost MaxAlpha 1.1x for Dimension>500	fl1577=22263(unchanged), d2103=80511(MUCH WORSE vs 80460); non-monotone: 1.1x hurts more than 1.2x due to different candidate set composition
2026-04-11T18:12:02	r2	move_operators	3d79741	N/A	N/A	discard	H17: sentinel before StoreTour to force t1 FRONT unconditionally	H17: over-intensification — d2103 seed42 got 80535 in 8s vs 80450 optimal. H8 partial no-op behavior actually provides useful diversification
2026-04-11T18:14:30	r2	move_operators	3d79741	N/A	N/A	discard	H18: GREEDY initial tour (same as w1 on main)	d2103 seed42=80479 (worse than H8 80450); GREEDY+H8 conflicts — deterministic GREEDY start reduces exploration benefit of H8's WALK-based randomness
2026-04-11T18:20:00	r2	move_operators	3d79741	N/A	N/A	discard	H19: Gain23 hint to max-SucCost node before each Gain23 block	hang on d2103 (two-level tree/Flip_SL instances) — n->Suc traversal creates infinite cycle; works on berlin52 (Groups==1)
